produto,total_vendas,receita_total
CLORO PURO ARACRUZ 1L,4157.0,26368.93
SABAO EM PO JUA BRANCO INTENSO 5KG,675.0,26351.11
LIMP HCL ALGICIDA 1L CHOQUE,786.0,26350.41
DESINFETANTE GUIMARAES LAVANDA 2L,3098.0,26324.95
SABAO LIQUIDO TRIEX COCO LAVA ROUPA 2L,1678.0,26321.57
DESINFETANTE BRINORT JASMIM 2L,4829.0,26304.72
LIMPADOR PERFUMADO URCA MOMENTO PURIFICANTE 1L,3665.0,26296.67
DESINFETANTE VEJA POWER ACTION LAVANDA 1L,1588.0,26287.24
DETERGENTE LIQUIDO UNOLAR LIMAO 500ML,16703.0,26277.12
DESINFETANTE COALA CONCENTRADO EUCALIPTO CITRIODORA 120ML,1745.0,26265.15
DETERGENTE LIQUIDO CANDURA NEUTRO 5L,1340.0,26263.32
AGUA SANITARIA BARBAREX 1L,8078.0,26242.87
"AMACIANTE CONCENTRADO DOWNY BRISA SUAVE REFIL 1,6L",751.0,26183.58
SABAO EM PO SACHE UZZILIM FLORES 2KG,2181.0,26179.81
"AMACIANTE CONCENTRADO AQUAFAST VERM SEDUCAO 1,5L",1247.0,26162.75
DESINFETANTE BRILUX MARINE TRANSLUCIDO 2L,2384.0,26110.4
LIMPADOR PERFUMADO TRIEX FRESCOR 1.75L,2633.0,26082.81
AGUA SANITARIA CLORITO 12X1L,1254.998,26065.19
SABAO LIQUIDO ZAB COCO 1L,3126.0,26003.09
LIMPADOR MULTIUSO COPERALCOOL EQ DA NATUREZA 500ML,1892.0,25978.18
AMACIANTE DILUIDO AZUL MAIS FAMILIA 2000ML,3117.0,25895.08
SABAO LIQUIDO GOTA LIMPA BABY 1L,1754.0,25883.27
"BRILHANTE SABAO EM PO CUIDADO SC 1,6KG",1233.0,25860.3
LIMPEZA PESADA SAIF LIMPA REJUNTES 500ML,1910.0,25831.41
AGUA SANITARIA XGUA DULAR FR 2L,4968.0,25824.55
SABAO EM PO SONHO MULTI ACAO 4KG,881.0,25805.7
SABAO EM PO ASSIM TRIPLA ACAO EMB ECONOMICA 1.8KG,1869.0,25787.04
LIMPADOR PISCINA QCLOR PASTILHAS TRICLORO 200G,3190.0,25778.18
"SABAO EM PO AMACITEL ALEGRES ENCANTOS 2,4KG",1390.0,25753.61
REMOVEDOR BARRA FAISCA CHEIRO SUAVE 500ML,1012.0,25741.82
DETERGENTE LIQUIDO KI JOIA COCO 500ML,14299.0,25737.22
SABAO LIQUIDO LIMPA JA 5L,1342.0,25653.38
LIMPADOR PERFUMADO AQUAFAST FRESCOR DA MANHA 1L,3212.0,25645.91
SABAO EM PO SONHO COCO 4KG,867.0,25574.53
DESINFETANTE DRAGAO LAVANDA 1L,7470.0,25543.22
LIMPADOR MULTIUSO AQUAFAST LAVANDA C/ALCOOL 1L,3694.0,25527.67
CLORO MULTIACAO HIDROAZUL 1KG,635.0,25522.67
LIMPEZA PESADA TRIEX LIMPA PEDRA 2L,1598.0,25471.92
AGUA SANITARIA LAVA BEM 1L,8961.0,25461.22
LIMPADOR ESSENCIA AROMASIL ORVALHO 140ML,2720.0,25433.77
LIMPADOR DE VIDRO CIF SQUEEZE LEVE 500ML PAGUE 400ML 500ML,1767.0,25417.11
LIMPADOR MULTIUSO URCA C/ ALCOOL 500ML,6456.0,25381.96
"SABAO EM PO MAIS CASA 1,6KG",2629.0,25362.38
LIMPEZA PESADA SUPREMA C/ALCOOL 500ML,7914.0,25327.95
LIMPADOR PERFUMADO AJAX FLOR PRIMAVERA PG800ML LV1L,2462.0,25312.0
SABAO LIQUIDO BABY SOFT VERDE 3L,1097.0,25303.26
AGUA SANITARIA ACTUALY 1L,9130.0,25284.41
"SABAO EM PO OMO LAVAG PERF CX 9X1,6KG",141.0,25274.7
TIRA MANCHA BEL LAR PERCARBONATO DE SODIO 1KG,899.0,25270.97
DESENGORDURANTE SUPER GLOBO 500ML,4185.0,25246.36
LIMPADOR MULTIUSO VEJA 10%DESC 24X500ML,279.0,25242.21
AGUA SANITARIA BARRA CLORO ATIVO FRASCO 5LT,1302.0,25226.72
CLORO GEL AQUA PLUS PERFUMADO 1L,3142.0,25206.1
SABAO EM PO BEM TE VI SUPER BRANCO 27X400G,393.0,25194.55
SABAO EM PO RUTH CARE COCO 500G,1504.0,25193.75
SABAO EM PO MAIS CASA MULTIACAO 3KG,1309.0,25193.12
"AMACIANTE CONCENTRADO SOFT PLUS ENERGIA 1,5L",1460.0,25165.38
AGUA SANITARIA ASA LESTE 2L,3667.0,25125.07
"DESINFETANTE VIDA BRISA DO MAR 1,5L",5846.0,25124.51
ALVEJANTE GOTA LIMPA SEM CLORO MULTIUSO 1L,3419.0,25120.6
AGUA SANITARIA  SUPER MAX 5L,3139.0,25118.89
SABAO LIQUIDO AQUAFAST TRADICIONAL 1L,2148.0,25077.96
DETERGENTE LIQUIDO ESFRELUX NEUTRO 500ML,12335.0,25061.86
SABAO EM PO UZZILIM 2KG,2038.0,25051.66
DESINFETANTE SANOL CLOROGEL LAVANDA 700ML,1762.0,24993.04
AMACIANTE DILUIDO TUFF BABY 500ML,5092.0,24979.2
LIMPADOR PERFUMADO CASA PERFUMADA SEGREDO DAS FLORES 1L,4127.0,24960.65
AMACIANTE CONCENTRADO COMFORT LAND PROFISSIONAL FRASCO 5L,368.0,24956.28
DESINFETANTE OESTE HERBAL 2L,4406.0,24950.81
DESINFETANTE AQUAFAST PAIXAO 1L,3777.0,24899.35
DESINFETANTE COALA CONCENTRADO TALCO 3EM1 120ML,1673.0,24891.61
DESINFETANTE HIPER PLUS FLORAL 2L,3933.0,24851.36
DESINFETANTE OLIMPO LAVANDA 2L,2837.0,24834.3
SABAO EM PO TIXAN YPE MACIEZ 24X800G,116.0,24807.84
AMACIANTE DILUIDO GOTA LIMPA BABY 1L,2980.0,24766.75
SABAO LIQUIDO AGIFACIL SABAO LIQUIDO CUIDADO TOTAL 3L,1363.0,24749.74
AGUA SANITARIA ASCERTE CLORO ATIVO 1L,10486.0,24748.61
LIMPADOR DE VIDRO AQUAFAST 500ML,3665.0,24744.58
AGUA SANITARIA GAUCHA C/ CLORO 5L,2477.0,24736.19
SABAO LIQUIDO TUFF EXTRA PERFUME 5L,768.0,24733.55
AGUA SANITARIA SANOL VERDE 1L,6638.0,24724.89
DETERGENTE LIQUIDO ZUPP ACAI 500ML,13237.0,24723.04
LIMPEZA PESADA POLITRIZ LIMPA PEDRAS 2L,1114.0,24694.38
DETERGENTE LIQUIDO GUARANI NEUTRO 5L,1386.0,24680.88
REMOVEDOR SANOL TRADICIONAL 500ML,3134.0,24664.95
DESINFETANTE GIOCA LAVANDA 2L,3352.0,24647.25
DESENGORDURANTE FACILLE GATILHO 500ML,3349.0,24640.35
LIMPADOR ESSENCIA CONCENTRADA EUCALIPTO POLITRIZ 140ML,2279.0,24633.58
DESINFETANTE JUA FLOR DO CAMPO 2L,2800.0,24620.81
SABAO EM PO TIXAN YPE MACIEZ CX 1KG,1983.0,24609.64
"AMACIANTE DILUIDO YPE INTENSO 1,6L",2596.0,24552.07
DESINFETANTE MEU LAR NATURE 2L,4096.0,24549.06
SABAO LIQUIDO LIMPADUA VERDE 3L,1549.0,24543.25
AMACIANTE DILUIDO BRILHA SUL AZUL 2L,4279.0,24536.36
SABAO LIQUIDO TIXAN YPE PRIMER 700ML,2468.0,24535.99
LIMPADOR PERFUMADO UAU CHA BRANCO 1L,2535.0,24493.32
LIMPADOR MULTIUSO UAU 2X500ML+CLORO ATIV 500ML+DESENG 500ML,1925.0,24459.66
LIMPADOR ESSENCIA SECAR CONCENTRADO LOTUS TAILANDIA 120ML,1999.0,24420.57
AMACIANTE DILUIDO SEMPRE VIVA LAVANDA 2L,3528.0,24405.07
ALVEJANTE BRILUX MULTI 500ML,9140.0,24401.57
AGUA SANITARIA CHEMIX 5L,2302.0,24396.26
DESENGORDURANTE DIABO VERDE 500ML,2178.33333,24389.33
SABAO LIQUIDO MAXPOL 5L,1397.0,24346.82
DETERGENTE LIQUIDO JUA COCO 500ML,11806.0,24310.63
DESINFETANTE ECONOMICO PINHO 1L,5669.0,24304.15
DESENGORDURANTE LIMPOL SPRAY 500ML,1406.0,24300.25
ALVEJANTE SAIF SEM CLORO MAIS BRANCO EM SACHE 500ML,3166.0,24297.0
SABAO LIQUIDO APYCE SUPERACAO 800ML,3896.0,24271.61
DESINFETANTE ZUPP CHA DE FRESCOR 2L,3646.0,24248.34
ALVEJANTE SEMPRE VIVA 1L,1888.0,24234.39
SABAO LIQUIDO OLA DELICADAS LAVANDA 1L,873.0,24212.88
AMACIANTE CONCENTRADO CASAFLOR PURA TERNURA 500ML,2187.0,24212.48
DESINFETANTE SANOL LAVANDA 500ML,5478.0,24164.83
SABAO LIQUIDO AQUAFAST LAVAGEM RAPIDA TOTAL CLEAN 1L,2111.0,24160.57
DESINFETANTE MEU LAR SENSITIVE 2L,4043.0,24152.87
LIMPADOR MULTIUSO ZAB LAVANDA 1L,3682.0,24148.76
LIMPADOR MULTIUSO BRILUX LIMAO SQUEEZE 500ML,4799.0,24112.33
DETERGENTE LIQUIDO ZAVASKI COCO 500ML,12367.0,24111.03
LIMPADOR PERFUMADO CASAFLOR GLAMOUR 500ML,5212.0,24104.68
SABAO EM PO ALPES VIDA 800G,3842.0,24100.32
LIMPADOR PET UAU AU NEUTRALIZADOR DE ORES TRADICIONAL 2L,1223.0,24016.81
AMACIANTE DILUIDO GOTA LIMPA PAIXAO 5L,1435.0,24007.76
LIMPADOR ESSENCIA AROMASIL ORQUIDEA NEGRA 140ML,2661.0,24001.58
AMACIANTE CONCENTRADO URCA MAGIA DA PAIXAO VERMELHO 1L,2006.0,23997.88
DESINFETANTE INSPIRA ANTIMOFO 500ML,1181.0,23982.94
AMACIANTE DILUIDO PLUSH EXOTIC 2L,2910.0,23978.73
LIMPEZA PESADA SOL DESENTUPIDOR C/SODA CAUSTICA 300G,1523.0,23952.95
DETERGENTE LIQUIDO ALPES CLEAR 500ML,10981.0,23917.06
DESINFETANTE BRILHA SUL PINHO 5L,1975.0,23914.01
AMACIANTE CONCENTRADO QUASAR BRISA AZUL 3L,2130.0,23909.96
AGUA SANITARIA MONTELAGOS FRASCO 1L,8085.0,23909.21
AMACIANTE DILUIDO KI JOIA LAVANDA 2L,3420.0,23904.69
DESINFETANTE ATOL SPRAY CIRANDA DE CHEIROS 90ML,4837.0,23902.77
AMACIANTE CONCENTRADO DOWNY FRESCOR DA PRIMAVERA 12X500ML,188.0,23894.64
ALVEJANTE NUTRILAR SEM CLORO FRESH 1L,4167.0,23856.63
DESINFETANTE AZULIM NEON 1L,4368.0,23835.78
LAVA ROUPA OMO 3LI,657.0,23834.98
LIMPADOR DE VIDRO MR MUSCULO SQUEEZE 500ML,1803.0,23819.66
DESINFETANTE JUA FLORAL 1L,6797.0,23807.26
LIMPADOR MULTIUSO AZULIM BACTERICIDA SQZ 500ML,6541.0,23791.45
SABAO LIQUIDO LIMPA MIL VERSATIL 3L,1974.0,23783.84
"CLORO GENCO GRANULADO MULTIPLA ACAO 2,5K",265.0,23771.29
DESINFETANTE MARINA MARINE 2L,4295.0,23769.82
DESINFETANTE AZULIM PERFUMADO ABSOLUTTE 1L,4432.0,23754.51
LIMPADOR PERFUMADO CASAFLOR BRASILIDADES CAJU 1.75ML,1987.0,23749.81
ALVEJANTE SAIF SEM CLORO 1L,2266.0,23744.77
AMACIANTE CONCENTRADO GUIMARAES LAVANDA BLANC 1L,1733.0,23728.74
DESINFETANTE SUPER GLOBO PINHO ORIGINAL 2L,2480.0,23716.51
AGUA SANITARIA ILUSTRE GF 2L,4754.0,23664.93
AMACIANTE DILUIDO QBOA MACIEZ COM TERNURA 2L,3924.0,23645.0
DETERGENTE LIQUIDO ATOL MACA 2L,2706.0,23642.1
DET PO OMO 1KG MULTIACAO,1890.0,23598.22
SABAO EM PO OESTE LAVANDA 1KG,4282.0,23594.04
LIMPADOR MULTIUSO RODABRILL KIT LIMPA TELAS 100ML,934.0,23569.11
LIMPADOR ESSENCIA NOGUEIRA EUCALIPTO 125ML,2669.0,23550.07
LIMPADOR ESSENCIA KALIPTO OLEO HORTELA E LIMAO 120ML,1855.0,23550.01
DETERGENTE LIQUIDO DRAGAO MACA 500ML,14110.0,23428.91
AMACIANTE CONCENTRADO ASSIM LIRIO FRAMBOESA 500ML,2849.0,23418.05
AGUA SANITARIA ISABEL 1L,14240.0,23407.12
AMACIANTE DILUIDO PROEZA SENSACAO 2L,4536.0,23375.42
AMACIANTE DILUIDO BELEM 5L,1304.0,23351.15
LIMPEZA PESADA PINHO SOL ORIGINAL 1L,1212.0,23345.93
DESINFETANTE SANOL PINHO ORIGINAL 1L,3121.0,23337.13
DESINFETANTE TRIEX EUCALIPTO 5L,1733.0,23310.57
SABAO LIQUIDO MARILUX SPORT ACTION 3L,1862.0,23288.34
DETERGENTE LIQUIDO YPE ANTIBAC CONCENTRADO 416G,2615.0,23270.79
LIMPADOR MULTIUSO AZULIM LARANJA SQZ 500ML,6371.0,23245.68
AGUA SANITARIA MIALA BRANCA 1L,13157.0,23238.08
LIMPADOR PISCINA AQUAPOL CLORO 200G,2306.0,23205.01
DESINFETANTE JUA FLOR DO CAMPO 1L,5034.0,23186.24
SABAO EM PO INVICTO ACTION COCO 800G,2868.0,23185.2
LIMPADOR DE VIDRO FACILLE CRISTAL GATILHO 500ML,1328.0,23173.72
AGUA SANITARIA BRILUX LV1L PG800ML 1L,8739.0,23160.79
AGUA SANITARIA CRISTAL VERDE 5L,1700.0,23157.49
AMACIANTE DILUIDO ECOVIDA CONFORT 3L,2312.0,23153.08
DESINFETANTE ECONOMICO LAVANDA 5L,1161.0,23149.38
SABAO EM PO TIXAN YPE MACIEZ SC 20X800G,123.0,23146.74
DETERGENTE LIQUIDO AQUAFAST LIMAO 500ML,9980.0,23142.03
DETERGENTE LIQUIDO LIMPADUA NEUTRO 500ML,11854.0,23138.38
ALVEJANTE ESTRELA SEM CLORO 1L,2714.0,23122.32
AMACIANTE CONCENTRADO TAKLIM 1L,1645.0,23113.06
SABAO LIQUIDO GEO TRADICIONAL 3L,791.0,23106.56
DETERGENTE LIQUIDO UNOLAR NEUTRO 5L,1599.0,23104.95
SABAO LIQUIDO BARBAREX 5L,818.0,23076.89
LIMPADOR ESSENCIA SAIF CONCENTRADO BAMBU 120ML,2125.0,23057.4
LIMPADOR MULTIUSO AROMASIL ESSENCIA GRATIDAO 140ML,2471.0,23056.22
SABAO LIQUIDO BRILHA SUL GLICERINA 5L,855.0,23037.0
LIMPEZA PESADA ESTRELA LIMPA PEDRAS 2L,1383.0,23033.48
REMOVEDOR ZULU PERFUMADO 450ML,1302.0,23018.14
LIMPADOR PERFUMADO AZULIM PAIXAO 1L,3074.0,23003.39
LIMPEZA PESADA BRANMIX ACIDO MURIATICO 1L,3171.0,22999.08
DESINFETANTE UAU ANTIBAC LAVANDA/ROSAS 2L,2291.0,22945.46
DESINFETANTE ATOL SPRAY CORDEL DE FLORES 90ML,4506.0,22899.92
DESINFETANTE ECONOMICO LAVANDA 500ML,8515.0,22875.14
"AMACIANTE CONCENTRADO URCA FLORAL 1,5L",1662.0,22859.96
SABAO EM PO ALA LIMAO E BICARBONATO 800G,2875.0,22834.75
DESINFETANTE BRANMIX CREOLINA 500ML,1367.0,22805.61
LIMPADOR ESSENCIA KALIPTO OLEO CITRONELA 120ML,1801.0,22805.17
LIMPADOR PERFUMADO AQUAFAST ESSENCIA NATURAL 1L,2921.0,22791.22
AGUA SANITARIA DULAGO 1L,12922.0,22790.94
AMACIANTE CONCENTRADO URCA BRISA DA MANHA 1L,1859.0,22790.74
LIMPADOR PERFUMADO AROMASIL ORQUIDEA NEGRA 1L,2836.0,22788.38
DESINFETANTE DRAGAO FLORAL 1L,6735.0,22788.16
DETERGENTE LIQUIDO GIRANDO SOL LIMAO 2L,2247.5,22780.95
AGUA SANITARIA EDILIMP 1L,11689.0,22778.83
DESINFETANTE AZULIM EUCALIPTO DILUIVEL 140ML,2339.0,22763.12
DESINFETANTE Q LAR PINHO 5L,1987.0,22749.81
DESINFETANTE PET FREEDOG LIMPA CANIL 2L,655.0,22713.43
LIMPADOR PERFUMADO QUASAR FLORAL 2L,3676.0,22711.5
SABAO LIQUIDO ISIS POWER BLUE PREM 3L,2026.0,22698.72
LIMPADOR ESSENCIA CONC POLITRIZ EUCALIPTO LAVANDA 140ML,2125.0,22691.66
LIMPADOR MULTIUSO TRIEX FRUTAS VERM ELHAS 500ML,6876.0,22680.99
LIMPADOR PERFUMADO CASA E PERFUME SENSUALIDADE 12X500ML,479.0,22660.42
DESINFETANTE LIMPBRAS FLORAL 5L,1492.0,22642.18
AMACIANTE CONCENTRADO GOTA LIMPA MAGIA 1L,2029.0,22624.74
LIMPADOR PERFUMADO QUASAR LAVANDA 1L,3979.0,22569.81
ALVEJANTE MARINA SEM CLORO 2L,1548.0,22555.64
DESINFETANTE OESTE EUCALIPTO 2L,3986.0,22555.56
LIMPADOR PERFUMADO GIRANDO SOL PODER DO OCEANO 2L,1468.0,22549.68
REMOVEDOR KIN LIMP LAVANDA 500ML,2153.0,22537.1
AMACIANTE DILUIDO MARINA PRAZER 2L,3186.0,22528.34
AGUA SANITARIA REALY 2L,3259.0,22492.85
DESINFETANTE KALIPTO LAVANDA 5L,963.0,22492.76
LIMPADOR PERFUMADO YPE JARDIM SECRETO GALAO 7L,598.0,22491.02
LIMPADOR PERFUMADO SANOL JASMINE 500ML,4279.0,22477.18
DESINFETANTE GIRANDO SOL EUCALIPTO 3L,1777.0,22475.67
DESINFETANTE AZULIM WAVE 2L,2449.0,22475.24
DETERGENTE LIQUIDO ECONOMICO NEUTRO 5L,965.0,22429.89
AMACIANTE CONCENTRADO YPE GREEN 1L,1295.0,22425.18
ELIMINADOR DE ODORES PET PROCAO FLOWER  2L,1092.0,22407.13
DETERGENTE LIQUIDO QUASAR QUASAR 2L,3048.0,22392.69
AMACIANTE DILUIDO ORIENTAL CARINHO 2L,2963.928,22372.4
AMACIANTE DILUIDO BARBAREX BLUE 2L,3207.0,22372.08
LIMPADOR ESSENCIA TRIEX EUCALIPTO 140ML,3047.0,22358.07
LIMPADOR ESSENCIA SECAR CONCENTRADO LIRIO FINLANDIA 120ML,1864.0,22349.56
LIMPADOR ESSENCIA GLADE EUCALIPTO 120ML,1547.0,22341.8
LIMPADOR ESSENCIA KALIPTO OLEO LARANAJA E MACA 120ML,1753.0,22335.49
LIMPADOR PERFUMADO URCA MOMENTO ENERGIZANTE 1L,3138.0,22328.91
SABAO EM PO OESTE MAX PERFORMANCE 1KG,4103.0,22327.05
DESINFETANTE ATRIUS EUCALIPTO 5L,1916.0,22305.37
AMACIANTE DILUIDO BARBAREX BLUE PET 5L,1499.0,22283.64
SABAO LIQUIDO BRILHANTE LIMPEZA TOTAL 4X3L,273.0,22263.0
LIMPADOR PERFUMADO AZULIM GEL CONCEN LAVANDA 500G,2462.0,22240.14
DETERGENTE LIQUIDO AQUAFAST LIMAO 1L,4807.0,22222.87
DESINFETANTE TRIEX USO GERAL ESSENCIA PERFUMADA TALCO 120ML,3037.0,22220.22
SABAO EM PO ABSOLUTO COCO 400G,13039.0,22213.18
SABAO LIQUIDO NUTRILAR TERNURA 1L,2057.0,22192.3
AMACIANTE DILUIDO GOTA LIMPA ENCANTO FLORAL 2L,2938.0,22187.82
TIRA MANCHAS TIXAN YPE GEL ROUPAS BRANCAS SQ 462G,1969.0,22053.93
DESINFETANTE GUARANI LAVANDA 2L,3557.0,22042.31
DESINFETANTE ZAB CITRUS 2L,2710.0,22038.97
LIMPADOR MULTIUSO FACILLE LARANJA SPRAY P500ML L550ML,5804.0,22030.57
ALVEJANTE LAVA BEM SEM CLORO 1L,3345.0,21994.23
DETERGENTE LIQUIDO GOTA LIMPA CRISTAL 5L,1192.0,21973.53
AGUA SANITARIA ATILA 2L,4839.0,21970.42
SABAO LIQUIDO APYCE LIMPEZA PROFUNDA 800ML,3552.0,21961.59
LIMPADOR MULTIUSO AZULIM MAIS PERFUMES 3X500ML,1993.0,21960.37
DESINFETANTE LYSOFORM CLORO GEL ORIGINAL SQUEEZE 500ML,1320.0,21949.88
CLORO PRO WATER VERDE 1L,3912.0,21929.49
DESENGORDURANTE SAIF LIMPA GRELHAS/CHURRASQ C/GATILHO 300ML,1346.0,21912.71
DESINFETANTE KI JOIA NATUREZA 2L,4064.0,21904.1
AMACIANTE DILUIDO GUARANI CELESTE 2L,2985.0,21878.88
AGUA SANITARIA SOL 5L,1666.0,21865.78
DESINFETANTE DRAGAO PINHO 2L,3337.0,21863.96
SABAO LIQUIDO EDILIMP CLASSIC 2L,1678.0,21810.37
ALGICIDA PARA PISCINA PREVINE AGUA VERDE 1 LITRO HTH,708.0,21741.28
SABAO LIQUIDO SOFT PLUS TOPAZIO 1L,1622.0,21690.32
AGUA SANITARIA TA BOA 5L,1816.0,21690.21
LIMPADOR PERFUMADO FACILLE LAVANDA 1L,3031.0,21678.56
"LIMPADOR PERFUMADO TRIEX 1,75L",2190.0,21660.36
LIMPADOR ESSENCIA KALIPTO OLEO FLORAL E TALCO 120ML,1705.0,21623.49
LIMPADOR MULTIUSO TUDO LIMAO SQUEEZE 500ML,6346.0,21609.0
DETERGENTE LIQUIDO Q LAR NEUTRO 5L,1298.0,21605.96
SABAO LIQUIDO SURF LAVANDA 7L,396.0,21587.78
LIMPADOR MULTIUSO BRILUX MUSO LAVANDA SPRAY 500ML,4305.0,21587.73
DESINFETANTE GIRANDO SOL PINHO 3L,1721.0,21580.9
DESINFETANTE JUA LIMAO 1L,6061.0,21578.23
LIMPADOR MULTIUSO DRAGAO CLASSIC 500ML,5471.0,21542.47
DESINFETANTE BRILHA SUL PINHO 2L,3395.0,21540.43
"AGUA SANITARIA BRILUX LV2L PG1,8L 6X2L",545.0,21539.92
SABAO EM PO COQUEL BB POTENCIA 800G,1822.0,21516.17
DETERGENTE LIQUIDO ESFRELUX CLEAR 500ML,10652.0,21506.11
LIMPADOR DE VIDRO SANILUX LIMP BOX 300ML,1354.0,21499.06
DESINFETANTE MEU LAR NATURE 1L,6214.0,21497.16
AMACIANTE CONCENTRADO YPE BLUE LV1L PG850ML 1L,1401.0,21494.2
ALVEJANTE SUPER CANDIDA FLORAL 1L,3772.0,21491.39
SABAO LIQUIDO COQUEL LAVANDA 500ML,1682.0,21488.5
LIMPADOR ESSENCIA SAIF LIMAO SICILIANO 120ML,1991.0,21459.57
DETERGENTE LIQUIDO YPE MACA 24X500ML,426.0,21451.58
AMACIANTE DILUIDO SOFT PLUS TALCO 2L,2602.0,21396.38
LIMPADOR PERFUMADO CASA E PERFUME AGRADABLE 12X500ML,446.0,21363.17
SABAO LIQUIDO GLOBAL MAX CLASSIC 2L,2151.0,21359.06
LIMP PERF COALA50,4387.0,21349.53
SABAO LIQUIDO POLIAL COCO TROPICAL 3L,1253.0,21333.89
DESENGORDURANTE TRIEX COZINHA 500ML,4508.0,21330.94
LIMPADOR PERFUMADO MAX CHEIRO 100ML,6195.0,21306.75
ALVEJANTE CANDURA LAVANDA 2L,2781.0,21261.15
AGUA SANITARIA CLARINA 2L,3551.0,21261.1
LIMPEZA PESADA AJAX CONCENTRADO FRESH 1750ML,796.0,21228.88
DESINFETANTE SANOL CLOROGEL ORIGINAL 700ML,1487.0,21224.57
DESINFETANTE BARRA PINHO FLORAL 500ML,6295.0,21220.5
CLORO ZAVASKI 2L,1717.0,21219.48
DETERGENTE LIQUIDO RADIANTE MACA 500ML,12749.0,21208.1
DETERGENTE LIQUIDO RADIANTE COCO 500ML,12858.0,21171.08
LIMPADOR MULTIUSO TUDO FLORAL SQUEEZE 500ML,6358.0,21160.1
SABAO LIQUIDO EXIGENTE EXPERT BLUE 3L,985.0,21151.81
SABAO EM PO GUARANI LAVANDA 400G,12118.0,21136.78
AMACIANTE CONCENTRADO TUFF LE JARDIM 1L,1481.0,21134.62
AGUA SANITARIA RELAMPAGO LAVANDA 1L,3332.0,21132.61
SABAO LIQUIDO OCEAN CLEAN REALCE PLUS 2L,2815.0,21109.27
LIMPADOR PERFUMADO ZULU LAVANDA 1L,2530.0,21108.26
SABAO EM PO MINUANO COCO 500G,1302.0,21101.51
SABAO EM PO TIXAN YPE PRIMAVERA CX 2KG,1135.0,21097.44
AGUA SANITARIA GBEL 2L,3086.0,21093.71
DESINFETANTE NUTRILAR LAVANDA 1L,5619.0,21082.03
LIMPEZA PESADA OTIMO BRILHO ACIDO MURIATICO VERDE 1L,5552.0,21080.53
AMACIANTE DILUIDO APYCE JASMIM PERF INTENSO ROSA 5L,1635.0,21060.33
AMACIANTE DILUIDO MAIS Q BOM TERNURA  5L,1503.0,21056.1
LIMPADOR PERFUMADO AZULIM ALEGRIA 2L,1566.0,21031.62
AMACIANTE CONCENTRADO FLOM INTENSE MYSTIC BOUQUET 900ML,1227.0,21014.33
ALVEJANTE DRAGAO COM CLORO MULTIUSO 1L,6588.0,21006.37
LIMPADOR ESSENCIA SANOL MISTERIO ARABE 120ML,1888.0,20986.08
SABAO EM PO ALA ROSAS E FLOR DE LIS SACHE 27X400G,234.0,20981.21
AGUA SANITARIA HIPOCLORITO BUTTERFLY DE SODIO 5L,854.0,20958.47
TIRA MANCHA SAIF +BRANCO SEM CLORO 420G,1372.0,20957.86
LIMPADOR PERFUMADO GIRANDO SOL ENCANTOS DA PRIMAVERA 2L,1316.0,20955.11
SABAO EM PO TIXAN YPE PRIMAVERA SC 20X800G,110.0,20938.95
LIMPADOR PISCINA BEL FLUTUADOR DE CLORO TIPO MARGARIDA 1UN,778.0,20932.57
"SABAO EM PO LIMPADUA MULTIAÇÃO 1,6KG",1701.0,20926.96
"DESINFETANTE VIDA ENCANTO DAS FLORES 1,5L",4935.0,20911.3
AMACIANTE DILUIDO QBEL CLASSIC AZUL 5L,1327.0,20900.57
LIMPADOR PERFUMADO BRINORT ROMANCE 2L,3378.0,20894.35
SABAO EM PO GIRANDO SOL OPTICAL WASH CUIDA PROTEGE 400G,5061.0,20865.34
DESINFETANTE SANTA CLARA LAVANDA 5L,1697.0,20794.55
DESINFETANTE POLILUZ FLORAL 2L,3100.0,20792.54
AGUA SANITARIA YPE FRASCO 12X1L,612.0,20764.24
SABAO EM PO ALPES SACHE 800G,3181.0,20747.03
AMACIANTE CONCENTRADO CASAFLOR DESIRE 500ML,1864.0,20739.5
SABAO LIQUIDO ABSOLUTO COCO 3L,1297.0,20729.18
DESINFETANTE RAJJA FLORAL 2L,3429.0,20713.42
DESINFETANTE MEU LAR SENSITIVE 1L,5842.0,20701.65
LIMPADOR PERFUMADO CASAFLOR SERENE 1.75L,1685.0,20701.25
DESINFETANTE ECO VIDA IGUATEMI 3L,2634.0,20692.22
AGUA SANITARIA CLASSE A 2L,3863.0,20671.78
REMOVEDOR BULL SEM CHEIRO 500ML,918.0,20648.5
DETERGENTE LIQUIDO FACILLE NEUTRO 500ML,9482.0,20637.93
LIMPADOR ESSENCIA CONCENTRADA CASAFLOR LAVANDA 120ML,1703.0,20628.35
LIMPADOR ESSENCIA SANOL EUCALIPTO 120ML,1817.0,20626.06
DESINFETANTE LAVABEM LAVANDA 1L,5633.0,20603.36
LIMP HIDROSAN 10KG PENTA,92.0,20589.36
AMACIANTE DILUIDO ALPES INTENSO 5L,1126.0,20588.45
DETERGENTE LIQUIDO MAIS FAMILIA COCO 500ML,9604.0,20572.63
AMACIANTE DILUIDO GUARANI AMOR ETERNO 2L,2791.0,20572.12
CLORO ZAVASKI 5L,742.0,20571.51
AMACIANTE CONCENTRADO CASAFLOR  VENTOS FLORAIS 500ML,1840.0,20559.67
AMACIANTE CONCENTRADO YPE BLUE LV500ML PG450ML 500ML,2076.0,20539.35
